/home/zjc/miniconda3/envs/adacompress/lib/python3.12/site-packages/compressai/models/video/google.py:353: FutureWarning: `torch.cuda.amp.autocast(args...)` is deprecated. Please use `torch.amp.autocast('cuda', args...)` instead.
  @amp.autocast(enabled=False)
/home/zjc/miniconda3/envs/adacompress/lib/python3.12/site-packages/timm/models/layers/__init__.py:48: FutureWarning: Importing from timm.models.layers is deprecated, please import via timm.layers
  warnings.warn(f"Importing from {__name__} is deprecated, please import via timm.layers", FutureWarning)
2026-02-13 01:59:35,277 [INFO ] [Spatial][E2][g_s0] U=0.579704 E=2.329890 Ehigh=1.211687 Elow=1.036502 G=0.000000
2026-02-13 01:59:35,277 [INFO ] [Spatial][E2][g_s2] U=0.056466 E=0.241954 Ehigh=0.151939 Elow=0.081837 G=0.000000
2026-02-13 01:59:35,277 [INFO ] [Spatial][E2][g_s4] U=0.018047 E=0.042206 Ehigh=0.016663 Elow=0.024354 G=0.000000
2026-02-13 01:59:35,277 [INFO ] [Spatial][E2][g_s6] U=0.012902 E=0.041404 Ehigh=0.026843 Elow=0.008444 G=0.000000
2026-02-13 01:59:35,681 [INFO ] Epoch 3/30 | LR 1.00e-04
2026-02-13 01:59:36,516 [INFO ] [Train][E3][it 0/3188][step 9565] RD 1.4596 | BPP 0.5801 | MSE 0.002705 | PSNR 25.69 | AUX 1232.03
2026-02-13 01:59:52,441 [INFO ] [Train][E3][it 100/3188][step 9665] RD 1.0949 | BPP 0.5149 | MSE 0.001784 | PSNR 27.84 | AUX 1238.41
2026-02-13 02:00:08,349 [INFO ] [Train][E3][it 200/3188][step 9765] RD 1.0947 | BPP 0.5131 | MSE 0.001789 | PSNR 27.82 | AUX 1242.75
2026-02-13 02:00:24,346 [INFO ] [Train][E3][it 300/3188][step 9865] RD 1.1166 | BPP 0.5150 | MSE 0.001850 | PSNR 27.66 | AUX 1247.03
2026-02-13 02:00:40,334 [INFO ] [Train][E3][it 400/3188][step 9965] RD 1.1105 | BPP 0.5148 | MSE 0.001832 | PSNR 27.69 | AUX 1252.30
2026-02-13 02:00:56,309 [INFO ] [Train][E3][it 500/3188][step 10065] RD 1.1096 | BPP 0.5164 | MSE 0.001825 | PSNR 27.69 | AUX 1257.50
2026-02-13 02:01:12,239 [INFO ] [Train][E3][it 600/3188][step 10165] RD 1.1082 | BPP 0.5153 | MSE 0.001823 | PSNR 27.69 | AUX 1262.50
2026-02-13 02:01:28,233 [INFO ] [Train][E3][it 700/3188][step 10265] RD 1.1100 | BPP 0.5161 | MSE 0.001827 | PSNR 27.68 | AUX 1267.70
